"","flagCode","country","log_cats1000","log_metalBands"
"1","US","United States",11.212617351811,7.02375895473844
"2","RU","Russia",10.0497500595144,4.27666611901606
"3","DE","Germany",9.62905070683437,5.97126183979046
"4","FR","France",9.60911649193355,5.39816270151775
"5","BR","Brazil",9.4307602173688,4.06044301054642
"6","GB","United Kingdom",9.39266192877014,5.82600010738045
"7","IT","Italy",9.23288433641108,5.38449506278909
"8","UA","Ukraine",8.9398431242785,3.2188758248682
"9","JP","Japan",8.89562962713648,3.95124371858143
"10","PL","Poland",8.87136500513685,4.59511985013459
"11","ES","Spain",8.67573421954479,4.35670882668959
"12","TR","Turkey",8.44677072711969,2.63905732961526
"13","RO","Romania",8.38274709486331,3.89182029811063
"14","AR","Argentina",8.00636756765025,2.89037175789616
"15","BE","Belgium",7.83834331555712,4.06044301054642
"16","HU","Hungary",7.77821147451249,3.09104245335832
"17","AU","Australia",7.69621263934641,4.87519732320115
"18","AT","Austria",7.62413058566129,3.63758615972639
"19","ZA","South Africa",7.60090245954208,1.6094379124341
"20","NL","Netherlands",7.54960916515453,4.89783979995091
"21","PT","Portugal",7.49276030092238,3.76120011569356
"22","CH","Switzerland",7.49164547360513,3.95124371858143
"23","SE","Sweden",7.44014668066269,6.15060276844628
"24","CZ","Czech Republic",7.21817683840341,3.52636052461616
"25","FI","Finland",6.88959130835447,5.7037824746562
"26","BG","Bulgaria",6.70318811324086,2.484906649788
"27","NO","Norway",6.6631326959908,5.38449506278909
"28","DK","Denmark",6.50578406012823,4.21950770517611
"29","GR","Greece",6.41017488196617,4.4188406077966
"30","LT","Lithuania",6.40522845803084,2.19722457733622
"31","SK","Slovakia",6.29156913955832,2.484906649788
"32","SI","Slovenia",6.12029741895095,2.19722457733622
"33","LV","Latvia",6.01615715969835,3.17805383034795
"34","IE","Ireland",5.87211778947542,2.94443897916644
"35","EE","Estonia",5.66988092298052,2.56494935746154
